content,content_stem,target
"Decided to stop by for breakfast by myself one Sunday morning.  The reviews on Yelp were enticing, so I gave it a shot.  I ordered the Sonora Potato and Sausage Hash (Eggs, Potatoes, Hot Links, Chipotle, Garlic, Onions, Peppers) w/side of Sourdough Toast, $8.
http://www.yelp.com/biz_photos/nEyREad5GZd3RiEZA-Irpw?select=TKoW6UY1opAaH4wFxLkFpg

I couldn't wait to take a bite of my dish as I love Hot Links and have never seen it in a Breakfast item before....it didn't disappoint, it was very good.  The Hot Link was actually spicy, which is often not the case.  The Potatoes were very tasty as well.  My only complaint was that it was kind of a small portion...I was left wanting more.

My server was very friendly and welcoming.  She asked how I found the joint and addressed me by name when I left....very cool.

Return Factor - 98%",decid stop breakfast sunday morn review yelp entic gave shot order sonora potato sausag hash egg potato hot link chipotl garlic onion pepper w side sourdough toast http www yelp com biz photo neyread gzd rieza irpw select tkow uy opaah wfxlkfpg wait take bite dish love hot link never seen breakfast disappoint good hot link actual spici often case potato tasti well complaint kind small portion left want server friendli welcom ask found joint address name left cool return factor,0
"Shopee will steal your cash vouchers - be careful when you are using bank vouchers to pay for purchases. If seller does not ship in time or if there is refund request, Shopee will only return credit value, and automatically keep the cash voucher value. If you use this app, prepare to lose a significant portion of money to Shopee.",steal cash voucher care use bank voucher pay purchas ship refund request return credit valu automat keep cash voucher valu prepar lose signific portion money,0
"I need to stop going here so much, but it's hard to stay away.",need stop go much hard stay away,1
"Excellent app, love to buy things from shore. Things up, all the items are affordable.",excel love buy thing shore thing afford,0
"this place is so darn cute!  You might miss it if you are driving too fast.  The food is like nothing I have ever experienced.  I had the pot pie, mmmm was that tasty.  All of the chicken and veggies are wrapped up in a pie type crust with the gravy on the side for dipping.  I have never enjoyed a pot pie as much as this one.  The only thing that was slightly off, was the lighting is very dark and the portions are small.  With that said, the portions being small left us room for dessert.  The dessert was out of this world!  You cannot go wrong with any of their items on the menu! I will be back for lunch for sure, and will bring visitors to this location too!",place darn cute might miss drive fast food like noth ever experienc pot pie mmmm tasti chicken veggi wrap pie type crust gravi side dip never enjoy pot pie much slightli light dark portion small said portion small left us room dessert dessert world cannot go wrong menu back lunch sure bring visitor locat,0
"I have been to Las Glorias twice with people from work.  Both times I was underwhelmed.  The first time I went the service was good.  They were great about bringing out chips with salsa and bean dip and refilling drinks.  The second time I came the service was horrible.  We were there for over 1.5 hours because we had to wait for EVERYTHING and it was not very busy.  I was not impressed with the food.  They seem to put raw onions in everything, including the cheese enchiladas.  I really dislike raw onions and am a pro at finding dishes without them, but you cannot escape them here.  The rice and beans were good, but I cannot say much else for a positive about this place.  I will not be back!",la gloria twice peopl work time underwhelm first went servic good great bring chip salsa bean dip refil drink second came servic horribl hour wait everyth busi impress food seem put raw onion everyth includ chees enchilada realli dislik raw onion pro find dish without cannot escap rice bean good cannot say much els posit place back,0
"Seems to be a network error after the last update. Purchases not showing, and not able to contact seller. Payment has been charged to credit card though. Please fix this bug.",seem network error last updat purchas show abl contact payment charg credit card though pleas fix bug,0
"Go for the food and you won't be disappointed, great middle eastern dishes served up nice and generously whether you get it to go or for dining in.  I went here and ate in and there was initially no one in the restaurant but me and then it quickly filled up with people. So I know that this is a neighborhood spot. The gyros and tzatziki sauce are very good but so is the hummus, falafel, kibbi and shwarma.",go food disappoint great middl eastern dish serv nice gener whether get go dine went ate initi restaur quickli fill peopl know neighborhood spot gyro tzatziki sauc good hummu falafel kibbi shwarma,0
"I ordered shoes from this app which was advertised as Vans of the wall and when I received the product, it was Vaus of the wall. I requested for the refund but Shopee rejected the claim and released the payment to seller. When I reopened the issue.. Shopee wants me to directly negotiate with the seller for a solution. Also shopee claims that refund cannot be done unless seller agrees for it and looks like i m set to lose my money. Useless shopping platform with fake products. please don't reply here saying you would like to help when you have not done anything so far for all the mails sent to your support mail id.",order shoe advertis van wall receiv product vau wall request refund reject claim releas payment reopen issu want directli negoti solut also claim refund cannot done unless agre look like set lose money useless shop platform fake product pleas repli say would like help done anyth far mail sent support mail id,0
I just completed L175 Candy but was prompted an error and was not taken into account and was not even recognised so can't move up to next level. There's been intermittent problems the last 1 month,complet l candi prompt error taken account even recognis move next level intermitt problem last month,1
